instrument,month,class,side,boundary,strict,equal,rows,gap_strict,gap_equal
he,2025-01,trades_all,corrected,decision_T,0,0,337488,0,0
he,2025-01,trades_all,corrected,prev_row_B,39596,0,337488,,
he,2025-01,trades_buy,corrected,decision_T,0,0,337488,0,0
he,2025-01,trades_buy,corrected,prev_row_B,0,0,337488,,
he,2025-01,trades_sell,corrected,decision_T,0,0,337488,0,0
he,2025-01,trades_sell,corrected,prev_row_B,39596,0,337488,,
he,2025-01,trades_large,corrected,decision_T,0,0,337488,0,0
he,2025-01,trades_large,corrected,prev_row_B,1846,0,337488,,
he,2025-01,trades_all,contaminated,decision_T,39596,0,337489,,
he,2025-01,trades_buy,contaminated,decision_T,0,0,337489,,
he,2025-01,trades_sell,contaminated,decision_T,39596,0,337489,,
he,2025-01,trades_large,contaminated,decision_T,1846,0,337489,,
he,2025-01,mbo_all,corrected,decision_T,0,1,337488,0,1
he,2025-01,mbo_all,corrected,prev_row_B,132122,2,337488,,
he,2025-01,mbo_bid_add,corrected,decision_T,0,0,337488,0,0
he,2025-01,mbo_bid_add,corrected,prev_row_B,81777,0,337488,,
he,2025-01,mbo_ask_add,corrected,decision_T,0,0,337488,0,0
he,2025-01,mbo_ask_add,corrected,prev_row_B,85367,0,337488,,
he,2025-01,mbo_bid_cancel,corrected,decision_T,0,1,337488,0,1
he,2025-01,mbo_bid_cancel,corrected,prev_row_B,78414,2,337488,,
he,2025-01,mbo_ask_cancel,corrected,decision_T,0,0,337488,0,0
he,2025-01,mbo_ask_cancel,corrected,prev_row_B,77220,0,337488,,
he,2025-01,mbo_cancel_any,corrected,decision_T,0,1,337488,0,1
he,2025-01,mbo_cancel_any,corrected,prev_row_B,102602,2,337488,,
he,2025-01,mbo_all,contaminated,decision_T,132122,2,337489,,
he,2025-01,mbo_bid_add,contaminated,decision_T,81777,0,337489,,
he,2025-01,mbo_ask_add,contaminated,decision_T,85367,0,337489,,
he,2025-01,mbo_bid_cancel,contaminated,decision_T,78414,2,337489,,
he,2025-01,mbo_ask_cancel,contaminated,decision_T,77220,0,337489,,
he,2025-01,mbo_cancel_any,contaminated,decision_T,102602,2,337489,,
