side,month,class,boundary,strict_count,equal_count,rows
corrected,2025-01,mbo_all,decision_T,0,5,577805
corrected,2025-01,mbo_bid_add,decision_T,0,0,577805
corrected,2025-01,mbo_ask_add,decision_T,0,1,577805
corrected,2025-01,mbo_bid_cancel,decision_T,0,1,577805
corrected,2025-01,mbo_ask_cancel,decision_T,0,3,577805
corrected,2025-01,mbo_cancel_any,decision_T,0,4,577805
corrected,2025-01,mbo_all_rows,decision_T,0,5,577805
contaminated,2025-01,mbo_all,decision_T,573849,5,577807
contaminated,2025-01,mbo_bid_add,decision_T,566294,0,577807
contaminated,2025-01,mbo_ask_add,decision_T,566209,1,577807
contaminated,2025-01,mbo_bid_cancel,decision_T,565958,1,577807
contaminated,2025-01,mbo_ask_cancel,decision_T,566085,3,577807
contaminated,2025-01,mbo_cancel_any,decision_T,570947,4,577807
contaminated,2025-01,mbo_all_rows,decision_T,574626,5,577807
corrected,2025-08,mbo_all,decision_T,0,5,534399
corrected,2025-08,mbo_bid_add,decision_T,0,0,534399
corrected,2025-08,mbo_ask_add,decision_T,0,0,534399
corrected,2025-08,mbo_bid_cancel,decision_T,0,4,534399
corrected,2025-08,mbo_ask_cancel,decision_T,0,1,534399
corrected,2025-08,mbo_cancel_any,decision_T,0,5,534399
corrected,2025-08,mbo_all_rows,decision_T,0,5,534399
contaminated,2025-08,mbo_all,decision_T,524025,94,534404
contaminated,2025-08,mbo_bid_add,decision_T,513246,55,534404
contaminated,2025-08,mbo_ask_add,decision_T,513303,34,534404
contaminated,2025-08,mbo_bid_cancel,decision_T,514325,4,534404
contaminated,2025-08,mbo_ask_cancel,decision_T,514089,1,534404
contaminated,2025-08,mbo_cancel_any,decision_T,520516,5,534404
contaminated,2025-08,mbo_all_rows,decision_T,525159,94,534404
corrected,2025-09,mbo_all,decision_T,0,5,533959
corrected,2025-09,mbo_bid_add,decision_T,0,0,533959
corrected,2025-09,mbo_ask_add,decision_T,0,1,533959
corrected,2025-09,mbo_bid_cancel,decision_T,0,3,533959
corrected,2025-09,mbo_ask_cancel,decision_T,0,1,533959
corrected,2025-09,mbo_cancel_any,decision_T,0,4,533959
corrected,2025-09,mbo_all_rows,decision_T,0,5,533959
contaminated,2025-09,mbo_all,decision_T,523307,90,533964
contaminated,2025-09,mbo_bid_add,decision_T,512737,47,533964
contaminated,2025-09,mbo_ask_add,decision_T,512597,39,533964
contaminated,2025-09,mbo_bid_cancel,decision_T,513551,3,533964
contaminated,2025-09,mbo_ask_cancel,decision_T,513283,1,533964
contaminated,2025-09,mbo_cancel_any,decision_T,519646,4,533964
contaminated,2025-09,mbo_all_rows,decision_T,524469,90,533964
corrected,2025-10,mbo_all,decision_T,0,5,586505
corrected,2025-10,mbo_bid_add,decision_T,0,1,586505
corrected,2025-10,mbo_ask_add,decision_T,0,1,586505
corrected,2025-10,mbo_bid_cancel,decision_T,0,2,586505
corrected,2025-10,mbo_ask_cancel,decision_T,0,1,586505
corrected,2025-10,mbo_cancel_any,decision_T,0,3,586505
corrected,2025-10,mbo_all_rows,decision_T,0,5,586505
contaminated,2025-10,mbo_all,decision_T,576402,102,586510
contaminated,2025-10,mbo_bid_add,decision_T,567634,66,586510
contaminated,2025-10,mbo_ask_add,decision_T,567767,33,586510
contaminated,2025-10,mbo_bid_cancel,decision_T,568799,2,586510
contaminated,2025-10,mbo_ask_cancel,decision_T,568652,1,586510
contaminated,2025-10,mbo_cancel_any,decision_T,573725,3,586510
contaminated,2025-10,mbo_all_rows,decision_T,577120,102,586510
corrected,2025-11,mbo_all,decision_T,0,3,518402
corrected,2025-11,mbo_bid_add,decision_T,0,0,518402
corrected,2025-11,mbo_ask_add,decision_T,0,2,518402
corrected,2025-11,mbo_bid_cancel,decision_T,0,0,518402
corrected,2025-11,mbo_ask_cancel,decision_T,0,1,518402
corrected,2025-11,mbo_cancel_any,decision_T,0,1,518402
corrected,2025-11,mbo_all_rows,decision_T,0,3,518402
contaminated,2025-11,mbo_all,decision_T,516516,3,518403
contaminated,2025-11,mbo_bid_add,decision_T,511979,0,518403
contaminated,2025-11,mbo_ask_add,decision_T,512042,2,518403
contaminated,2025-11,mbo_bid_cancel,decision_T,512735,0,518403
contaminated,2025-11,mbo_ask_cancel,decision_T,512849,1,518403
contaminated,2025-11,mbo_cancel_any,decision_T,515516,1,518403
contaminated,2025-11,mbo_all_rows,decision_T,516909,3,518403
corrected,2025-12,mbo_all,decision_T,0,5,620105
corrected,2025-12,mbo_bid_add,decision_T,0,2,620105
corrected,2025-12,mbo_ask_add,decision_T,0,0,620105
corrected,2025-12,mbo_bid_cancel,decision_T,0,2,620105
corrected,2025-12,mbo_ask_cancel,decision_T,0,2,620105
corrected,2025-12,mbo_cancel_any,decision_T,0,3,620105
corrected,2025-12,mbo_all_rows,decision_T,0,6,620105
contaminated,2025-12,mbo_all,decision_T,614563,5,620107
contaminated,2025-12,mbo_bid_add,decision_T,605001,2,620107
contaminated,2025-12,mbo_ask_add,decision_T,605213,0,620107
contaminated,2025-12,mbo_bid_cancel,decision_T,606399,2,620107
contaminated,2025-12,mbo_ask_cancel,decision_T,606587,2,620107
contaminated,2025-12,mbo_cancel_any,decision_T,612434,3,620107
contaminated,2025-12,mbo_all_rows,decision_T,615494,6,620107
