set,instrument,model,horizon,n_rows,label_equal,fwd_bitexact,mid_bitexact,first_diff_index
main,cl,LightGBM,5,1930724,True,True,True,
main,cl,LightGBM,10,1990321,True,True,True,
main,cl,LightGBM,30,2572423,True,True,True,
main,cl,LightGBM,60,2889289,True,True,True,
main,cl,XGBoost,5,1930724,True,True,True,
main,cl,XGBoost,10,1990321,True,True,True,
main,cl,XGBoost,30,2572423,True,True,True,
main,cl,XGBoost,60,2889289,True,True,True,
main,es,LightGBM,5,1884794,True,True,True,
main,es,LightGBM,10,2138729,True,True,True,
main,es,LightGBM,30,2424880,True,True,True,
main,es,LightGBM,60,2548702,True,True,True,
main,es,XGBoost,5,1884794,True,True,True,
main,es,XGBoost,10,2138729,True,True,True,
main,es,XGBoost,30,2424880,True,True,True,
main,es,XGBoost,60,2548702,True,True,True,
main,gc,LightGBM,5,3145463,True,True,True,
main,gc,LightGBM,10,3011667,True,True,True,
main,gc,LightGBM,30,3213561,True,True,True,
main,gc,LightGBM,60,3329052,True,True,True,
main,gc,XGBoost,5,3145463,True,True,True,
main,gc,XGBoost,10,3011667,True,True,True,
main,gc,XGBoost,30,3213561,True,True,True,
main,gc,XGBoost,60,3329052,True,True,True,
main,he,LightGBM,5,542793,True,True,True,
main,he,LightGBM,10,780550,True,True,True,
main,he,LightGBM,30,1148033,True,True,True,
main,he,LightGBM,60,1314197,True,True,True,
main,he,XGBoost,5,542793,True,True,True,
main,he,XGBoost,10,780550,True,True,True,
main,he,XGBoost,30,1148033,True,True,True,
main,he,XGBoost,60,1314197,True,True,True,
main,le,LightGBM,5,994518,True,True,True,
main,le,LightGBM,10,1220963,True,True,True,
main,le,LightGBM,30,1423152,True,True,True,
main,le,LightGBM,60,1478639,True,True,True,
main,le,XGBoost,5,994518,True,True,True,
main,le,XGBoost,10,1220963,True,True,True,
main,le,XGBoost,30,1423152,True,True,True,
main,le,XGBoost,60,1478639,True,True,True,
main,nq,LightGBM,5,2650986,True,True,True,
main,nq,LightGBM,10,2709685,True,True,True,
main,nq,LightGBM,30,2761782,True,True,True,
main,nq,LightGBM,60,2783959,True,True,True,
main,nq,XGBoost,5,2650986,True,True,True,
main,nq,XGBoost,10,2709685,True,True,True,
main,nq,XGBoost,30,2761782,True,True,True,
main,nq,XGBoost,60,2783959,True,True,True,
main,zc,LightGBM,5,1047430,True,True,True,
main,zc,LightGBM,10,655016,True,True,True,
main,zc,LightGBM,30,745656,True,True,True,
main,zc,LightGBM,60,890687,True,True,True,
main,zc,XGBoost,5,1047430,True,True,True,
main,zc,XGBoost,10,655016,True,True,True,
main,zc,XGBoost,30,745656,True,True,True,
main,zc,XGBoost,60,890687,True,True,True,
main,zs,LightGBM,5,885602,True,True,True,
main,zs,LightGBM,10,699991,True,True,True,
main,zs,LightGBM,30,1018858,True,True,True,
main,zs,LightGBM,60,1256335,True,True,True,
main,zs,XGBoost,5,885602,True,True,True,
main,zs,XGBoost,10,699991,True,True,True,
main,zs,XGBoost,30,1018858,True,True,True,
main,zs,XGBoost,60,1256335,True,True,True,
pc2_ts,gc,LightGBM,5,1166569/1166567,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,gc,LightGBM,10,1121964/1121961,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,gc,LightGBM,30,1192924/1192921,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,gc,LightGBM,60,1235937/1235935,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,gc,XGBoost,5,1166569/1166567,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,gc,XGBoost,10,1121964/1121961,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,gc,XGBoost,30,1192924/1192921,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,gc,XGBoost,60,1235937/1235935,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,nq,LightGBM,5,800124/800122,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,nq,LightGBM,10,816713/816712,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,nq,LightGBM,30,831170/831172,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,nq,LightGBM,60,837323/837320,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,nq,XGBoost,5,800124/800122,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,nq,XGBoost,10,816713/816712,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,nq,XGBoost,30,831170/831172,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,nq,XGBoost,60,837323/837320,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,zc,LightGBM,5,303408/303401,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,zc,LightGBM,10,171669/171664,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,zc,LightGBM,30,210771/210766,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,zc,LightGBM,60,268634/268628,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,zc,XGBoost,5,303408/303401,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,zc,XGBoost,10,171669/171664,N_MISMATCH,N_MISMATCH,N_MISMATCH,
pc2_ts,zc,XGBoost,30,210771/210766,N_MISMATCH,N_MISMATCH,N_MISMATCH,
