side,month,class,boundary,strict_count,equal_count,rows
corrected,2025-01,mbo_all,decision_T,0,6,598227
corrected,2025-01,mbo_bid_add,decision_T,0,1,598227
corrected,2025-01,mbo_ask_add,decision_T,0,1,598227
corrected,2025-01,mbo_bid_cancel,decision_T,0,1,598227
corrected,2025-01,mbo_ask_cancel,decision_T,0,3,598227
corrected,2025-01,mbo_cancel_any,decision_T,0,4,598227
corrected,2025-01,mbo_all_rows,decision_T,0,6,598227
contaminated,2025-01,mbo_all,decision_T,588354,216,598228
contaminated,2025-01,mbo_bid_add,decision_T,580233,52,598228
contaminated,2025-01,mbo_ask_add,decision_T,580211,125,598228
contaminated,2025-01,mbo_bid_cancel,decision_T,579771,16,598228
contaminated,2025-01,mbo_ask_cancel,decision_T,579972,23,598228
contaminated,2025-01,mbo_cancel_any,decision_T,585177,39,598228
contaminated,2025-01,mbo_all_rows,decision_T,589186,222,598228
corrected,2025-08,mbo_all,decision_T,0,7,540530
corrected,2025-08,mbo_bid_add,decision_T,0,2,540530
corrected,2025-08,mbo_ask_add,decision_T,0,0,540530
corrected,2025-08,mbo_bid_cancel,decision_T,0,4,540530
corrected,2025-08,mbo_ask_cancel,decision_T,0,1,540530
corrected,2025-08,mbo_cancel_any,decision_T,0,5,540530
corrected,2025-08,mbo_all_rows,decision_T,0,7,540530
contaminated,2025-08,mbo_all,decision_T,523573,265,540531
contaminated,2025-08,mbo_bid_add,decision_T,513054,113,540531
contaminated,2025-08,mbo_ask_add,decision_T,513183,147,540531
contaminated,2025-08,mbo_bid_cancel,decision_T,514117,4,540531
contaminated,2025-08,mbo_ask_cancel,decision_T,513875,1,540531
contaminated,2025-08,mbo_cancel_any,decision_T,520186,5,540531
contaminated,2025-08,mbo_all_rows,decision_T,524641,265,540531
corrected,2025-09,mbo_all,decision_T,0,5,549430
corrected,2025-09,mbo_bid_add,decision_T,0,0,549430
corrected,2025-09,mbo_ask_add,decision_T,0,1,549430
corrected,2025-09,mbo_bid_cancel,decision_T,0,3,549430
corrected,2025-09,mbo_ask_cancel,decision_T,0,1,549430
corrected,2025-09,mbo_cancel_any,decision_T,0,4,549430
corrected,2025-09,mbo_all_rows,decision_T,0,5,549430
contaminated,2025-09,mbo_all,decision_T,532341,190,549431
contaminated,2025-09,mbo_bid_add,decision_T,519776,86,549431
contaminated,2025-09,mbo_ask_add,decision_T,519631,71,549431
contaminated,2025-09,mbo_bid_cancel,decision_T,520498,18,549431
contaminated,2025-09,mbo_ask_cancel,decision_T,520287,15,549431
contaminated,2025-09,mbo_cancel_any,decision_T,527956,33,549431
contaminated,2025-09,mbo_all_rows,decision_T,533847,192,549431
corrected,2025-10,mbo_all,decision_T,0,5,590785
corrected,2025-10,mbo_bid_add,decision_T,0,1,590785
corrected,2025-10,mbo_ask_add,decision_T,0,1,590785
corrected,2025-10,mbo_bid_cancel,decision_T,0,2,590785
corrected,2025-10,mbo_ask_cancel,decision_T,0,1,590785
corrected,2025-10,mbo_cancel_any,decision_T,0,3,590785
corrected,2025-10,mbo_all_rows,decision_T,0,5,590785
contaminated,2025-10,mbo_all,decision_T,576194,267,590786
contaminated,2025-10,mbo_bid_add,decision_T,567575,155,590786
contaminated,2025-10,mbo_ask_add,decision_T,567627,109,590786
contaminated,2025-10,mbo_bid_cancel,decision_T,568730,2,590786
contaminated,2025-10,mbo_ask_cancel,decision_T,568594,1,590786
contaminated,2025-10,mbo_cancel_any,decision_T,573626,3,590786
contaminated,2025-10,mbo_all_rows,decision_T,576889,267,590786
corrected,2025-11,mbo_all,decision_T,0,3,550463
corrected,2025-11,mbo_bid_add,decision_T,0,0,550463
corrected,2025-11,mbo_ask_add,decision_T,0,2,550463
corrected,2025-11,mbo_bid_cancel,decision_T,0,0,550463
corrected,2025-11,mbo_ask_cancel,decision_T,0,1,550463
corrected,2025-11,mbo_cancel_any,decision_T,0,1,550463
corrected,2025-11,mbo_all_rows,decision_T,0,3,550463
contaminated,2025-11,mbo_all,decision_T,543253,58,550464
contaminated,2025-11,mbo_bid_add,decision_T,535589,18,550464
contaminated,2025-11,mbo_ask_add,decision_T,535650,11,550464
contaminated,2025-11,mbo_bid_cancel,decision_T,536242,15,550464
contaminated,2025-11,mbo_ask_cancel,decision_T,536872,15,550464
contaminated,2025-11,mbo_cancel_any,decision_T,541253,29,550464
contaminated,2025-11,mbo_all_rows,decision_T,544103,60,550464
corrected,2025-12,mbo_all,decision_T,0,5,620107
corrected,2025-12,mbo_bid_add,decision_T,0,2,620107
corrected,2025-12,mbo_ask_add,decision_T,0,0,620107
corrected,2025-12,mbo_bid_cancel,decision_T,0,2,620107
corrected,2025-12,mbo_ask_cancel,decision_T,0,2,620107
corrected,2025-12,mbo_cancel_any,decision_T,0,3,620107
corrected,2025-12,mbo_all_rows,decision_T,0,6,620107
contaminated,2025-12,mbo_all,decision_T,614564,5,620108
contaminated,2025-12,mbo_bid_add,decision_T,605001,2,620108
contaminated,2025-12,mbo_ask_add,decision_T,605215,0,620108
contaminated,2025-12,mbo_bid_cancel,decision_T,606399,2,620108
contaminated,2025-12,mbo_ask_cancel,decision_T,606587,2,620108
contaminated,2025-12,mbo_cancel_any,decision_T,612434,3,620108
contaminated,2025-12,mbo_all_rows,decision_T,615494,6,620108
