side,instrument,month,class,boundary,strict_count,equal_count,rows,scored_flag,missing_path
corrected,es,2025-01,trades_all,decision_T,0,0,605289,SCORED,
corrected,es,2025-01,trades_buy,decision_T,0,0,605289,SCORED,
corrected,es,2025-01,trades_sell,decision_T,0,0,605289,SCORED,
corrected,es,2025-01,trades_large,decision_T,0,0,605289,SCORED,
contaminated,es,2025-01,trades_all,decision_T,514323,1,605290,SCORED,
contaminated,es,2025-01,trades_buy,decision_T,0,0,605290,SCORED,
contaminated,es,2025-01,trades_sell,decision_T,514323,1,605290,SCORED,
contaminated,es,2025-01,trades_large,decision_T,216349,0,605290,SCORED,
corrected,es,2025-01,mbo_all,decision_T,0,4,605289,SCORED,
corrected,es,2025-01,mbo_bid_add,decision_T,0,2,605289,SCORED,
corrected,es,2025-01,mbo_ask_add,decision_T,0,1,605289,SCORED,
corrected,es,2025-01,mbo_bid_cancel,decision_T,0,0,605289,SCORED,
corrected,es,2025-01,mbo_ask_cancel,decision_T,0,1,605289,SCORED,
corrected,es,2025-01,mbo_cancel_any,decision_T,0,1,605289,SCORED,
corrected,es,2025-01,mbo_all_rows,decision_T,0,6,605289,SCORED_DIAGNOSTIC_11TH_CLASS,
contaminated,es,2025-01,mbo_all,decision_T,585940,248,605290,SCORED,
contaminated,es,2025-01,mbo_bid_add,decision_T,571405,97,605290,SCORED,
contaminated,es,2025-01,mbo_ask_add,decision_T,571247,148,605290,SCORED,
contaminated,es,2025-01,mbo_bid_cancel,decision_T,568448,1,605290,SCORED,
contaminated,es,2025-01,mbo_ask_cancel,decision_T,568933,2,605290,SCORED,
contaminated,es,2025-01,mbo_cancel_any,decision_T,579272,3,605290,SCORED,
contaminated,es,2025-01,mbo_all_rows,decision_T,587370,250,605290,SCORED_DIAGNOSTIC_11TH_CLASS,
corrected,nq,2025-01,mbo_all,decision_T,,,598227,UNSCORED_FOR_LACK_OF_DATA,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\nq_mbo_2025-01.parquet
contaminated,nq,2025-01,mbo_all,decision_T,,,598228,UNSCORED_FOR_LACK_OF_DATA,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\nq_mbo_2025-01.parquet
corrected,nq,2025-01,mbo_bid_add,decision_T,,,598227,UNSCORED_FOR_LACK_OF_DATA,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\nq_mbo_2025-01.parquet
contaminated,nq,2025-01,mbo_bid_add,decision_T,,,598228,UNSCORED_FOR_LACK_OF_DATA,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\nq_mbo_2025-01.parquet
corrected,nq,2025-01,mbo_ask_add,decision_T,,,598227,UNSCORED_FOR_LACK_OF_DATA,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\nq_mbo_2025-01.parquet
contaminated,nq,2025-01,mbo_ask_add,decision_T,,,598228,UNSCORED_FOR_LACK_OF_DATA,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\nq_mbo_2025-01.parquet
corrected,nq,2025-01,mbo_bid_cancel,decision_T,,,598227,UNSCORED_FOR_LACK_OF_DATA,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\nq_mbo_2025-01.parquet
contaminated,nq,2025-01,mbo_bid_cancel,decision_T,,,598228,UNSCORED_FOR_LACK_OF_DATA,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\nq_mbo_2025-01.parquet
corrected,nq,2025-01,mbo_ask_cancel,decision_T,,,598227,UNSCORED_FOR_LACK_OF_DATA,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\nq_mbo_2025-01.parquet
contaminated,nq,2025-01,mbo_ask_cancel,decision_T,,,598228,UNSCORED_FOR_LACK_OF_DATA,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\nq_mbo_2025-01.parquet
corrected,nq,2025-01,mbo_cancel_any,decision_T,,,598227,UNSCORED_FOR_LACK_OF_DATA,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\nq_mbo_2025-01.parquet
contaminated,nq,2025-01,mbo_cancel_any,decision_T,,,598228,UNSCORED_FOR_LACK_OF_DATA,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\nq\nq_mbo_2025-01.parquet
corrected,nq,2025-01,trades_all,decision_T,0,0,598227,SCORED,
corrected,nq,2025-01,trades_buy,decision_T,0,0,598227,SCORED,
corrected,nq,2025-01,trades_sell,decision_T,0,0,598227,SCORED,
corrected,nq,2025-01,trades_large,decision_T,0,0,598227,SCORED,
contaminated,nq,2025-01,trades_all,decision_T,543341,0,598228,SCORED,
contaminated,nq,2025-01,trades_buy,decision_T,0,0,598228,SCORED,
contaminated,nq,2025-01,trades_sell,decision_T,543341,0,598228,SCORED,
contaminated,nq,2025-01,trades_large,decision_T,9694,0,598228,SCORED,
corrected,cl,2025-01,trades_all,decision_T,21770,0,801410,SCORED,
corrected,cl,2025-01,trades_buy,decision_T,0,0,801410,SCORED,
corrected,cl,2025-01,trades_sell,decision_T,21770,0,801410,SCORED,
corrected,cl,2025-01,trades_large,decision_T,1594,0,801410,SCORED,
contaminated,cl,2025-01,trades_all,decision_T,232865,0,801411,SCORED,
contaminated,cl,2025-01,trades_buy,decision_T,0,0,801411,SCORED,
contaminated,cl,2025-01,trades_sell,decision_T,232865,0,801411,SCORED,
contaminated,cl,2025-01,trades_large,decision_T,14268,0,801411,SCORED,
corrected,cl,2025-01,mbo_all,decision_T,53249,2194,801410,SCORED,
corrected,cl,2025-01,mbo_bid_add,decision_T,40600,1259,801410,SCORED,
corrected,cl,2025-01,mbo_ask_add,decision_T,40435,927,801410,SCORED,
corrected,cl,2025-01,mbo_bid_cancel,decision_T,39581,2,801410,SCORED,
corrected,cl,2025-01,mbo_ask_cancel,decision_T,39559,6,801410,SCORED,
corrected,cl,2025-01,mbo_cancel_any,decision_T,46643,8,801410,SCORED,
corrected,cl,2025-01,mbo_all_rows,decision_T,54341,2197,801410,SCORED_DIAGNOSTIC_11TH_CLASS,
contaminated,cl,2025-01,mbo_all,decision_T,534779,3205,801411,SCORED,
contaminated,cl,2025-01,mbo_bid_add,decision_T,421352,1806,801411,SCORED,
contaminated,cl,2025-01,mbo_ask_add,decision_T,420221,1367,801411,SCORED,
contaminated,cl,2025-01,mbo_bid_cancel,decision_T,415077,13,801411,SCORED,
contaminated,cl,2025-01,mbo_ask_cancel,decision_T,415311,19,801411,SCORED,
contaminated,cl,2025-01,mbo_cancel_any,decision_T,480191,32,801411,SCORED,
contaminated,cl,2025-01,mbo_all_rows,decision_T,545832,3211,801411,SCORED_DIAGNOSTIC_11TH_CLASS,
corrected,gc,2025-01,trades_all,decision_T,13907,3,761736,SCORED,
corrected,gc,2025-01,trades_buy,decision_T,0,0,761736,SCORED,
corrected,gc,2025-01,trades_sell,decision_T,13907,3,761736,SCORED,
corrected,gc,2025-01,trades_large,decision_T,267,0,761736,SCORED,
contaminated,gc,2025-01,trades_all,decision_T,210374,35,761737,SCORED,
contaminated,gc,2025-01,trades_buy,decision_T,0,0,761737,SCORED,
contaminated,gc,2025-01,trades_sell,decision_T,210374,35,761737,SCORED,
contaminated,gc,2025-01,trades_large,decision_T,3280,1,761737,SCORED,
corrected,gc,2025-01,mbo_all,decision_T,37065,1853,761736,SCORED,
corrected,gc,2025-01,mbo_bid_add,decision_T,26290,1068,761736,SCORED,
corrected,gc,2025-01,mbo_ask_add,decision_T,25919,767,761736,SCORED,
corrected,gc,2025-01,mbo_bid_cancel,decision_T,25095,10,761736,SCORED,
corrected,gc,2025-01,mbo_ask_cancel,decision_T,24993,5,761736,SCORED,
corrected,gc,2025-01,mbo_cancel_any,decision_T,30403,15,761736,SCORED,
contaminated,gc,2025-01,mbo_all,decision_T,523228,2713,761737,SCORED,
contaminated,gc,2025-01,mbo_bid_add,decision_T,384039,1490,761737,SCORED,
contaminated,gc,2025-01,mbo_ask_add,decision_T,380700,1137,761737,SCORED,
contaminated,gc,2025-01,mbo_bid_cancel,decision_T,376465,26,761737,SCORED,
contaminated,gc,2025-01,mbo_ask_cancel,decision_T,375572,24,761737,SCORED,
contaminated,gc,2025-01,mbo_cancel_any,decision_T,448387,50,761737,SCORED,
corrected,zc,2025-01,trades_all,decision_T,0,0,338158,SCORED,
corrected,zc,2025-01,trades_buy,decision_T,0,0,338158,SCORED,
corrected,zc,2025-01,trades_sell,decision_T,0,0,338158,SCORED,
corrected,zc,2025-01,trades_large,decision_T,0,0,338158,SCORED,
contaminated,zc,2025-01,trades_all,decision_T,89568,20,338159,SCORED,
contaminated,zc,2025-01,trades_buy,decision_T,0,0,338159,SCORED,
contaminated,zc,2025-01,trades_sell,decision_T,89568,20,338159,SCORED,
contaminated,zc,2025-01,trades_large,decision_T,23633,20,338159,SCORED,
corrected,zc,2025-01,mbo_all,decision_T,0,0,338158,SCORED,
corrected,zc,2025-01,mbo_bid_add,decision_T,0,0,338158,SCORED,
corrected,zc,2025-01,mbo_ask_add,decision_T,0,0,338158,SCORED,
