side,month,class,boundary,s4,e4,rows,s3,e3,rows_right,d_strict,d_equal
contaminated,2025-01,mbo_all,decision_T,573849,5,598228,588354,216,598228,-14505,-211
contaminated,2025-01,mbo_all_rows,decision_T,574626,5,598228,589186,222,598228,-14560,-217
contaminated,2025-01,mbo_ask_add,decision_T,566209,1,598228,580211,125,598228,-14002,-124
contaminated,2025-01,mbo_ask_cancel,decision_T,566085,3,598228,579972,23,598228,-13887,-20
contaminated,2025-01,mbo_bid_add,decision_T,566294,0,598228,580233,52,598228,-13939,-52
contaminated,2025-01,mbo_bid_cancel,decision_T,565958,1,598228,579771,16,598228,-13813,-15
contaminated,2025-01,mbo_cancel_any,decision_T,570947,4,598228,585177,39,598228,-14230,-35
contaminated,2025-08,mbo_all,decision_T,524025,94,540531,523573,265,540531,452,-171
contaminated,2025-08,mbo_all_rows,decision_T,525159,94,540531,524641,265,540531,518,-171
contaminated,2025-08,mbo_ask_add,decision_T,513303,34,540531,513183,147,540531,120,-113
contaminated,2025-08,mbo_ask_cancel,decision_T,514089,1,540531,513875,1,540531,214,0
contaminated,2025-08,mbo_bid_add,decision_T,513246,55,540531,513054,113,540531,192,-58
contaminated,2025-08,mbo_bid_cancel,decision_T,514325,4,540531,514117,4,540531,208,0
contaminated,2025-08,mbo_cancel_any,decision_T,520516,5,540531,520186,5,540531,330,0
contaminated,2025-09,mbo_all,decision_T,523307,90,549431,532341,190,549431,-9034,-100
contaminated,2025-09,mbo_all_rows,decision_T,524469,90,549431,533847,192,549431,-9378,-102
contaminated,2025-09,mbo_ask_add,decision_T,512597,39,549431,519631,71,549431,-7034,-32
contaminated,2025-09,mbo_ask_cancel,decision_T,513283,1,549431,520287,15,549431,-7004,-14
contaminated,2025-09,mbo_bid_add,decision_T,512737,47,549431,519776,86,549431,-7039,-39
contaminated,2025-09,mbo_bid_cancel,decision_T,513551,3,549431,520498,18,549431,-6947,-15
contaminated,2025-09,mbo_cancel_any,decision_T,519646,4,549431,527956,33,549431,-8310,-29
contaminated,2025-10,mbo_all,decision_T,576402,102,590786,576194,267,590786,208,-165
contaminated,2025-10,mbo_all_rows,decision_T,577120,102,590786,576889,267,590786,231,-165
contaminated,2025-10,mbo_ask_add,decision_T,567767,33,590786,567627,109,590786,140,-76
contaminated,2025-10,mbo_ask_cancel,decision_T,568652,1,590786,568594,1,590786,58,0
contaminated,2025-10,mbo_bid_add,decision_T,567634,66,590786,567575,155,590786,59,-89
contaminated,2025-10,mbo_bid_cancel,decision_T,568799,2,590786,568730,2,590786,69,0
contaminated,2025-10,mbo_cancel_any,decision_T,573725,3,590786,573626,3,590786,99,0
contaminated,2025-11,mbo_all,decision_T,516516,3,550464,543253,58,550464,-26737,-55
contaminated,2025-11,mbo_all_rows,decision_T,516909,3,550464,544103,60,550464,-27194,-57
contaminated,2025-11,mbo_ask_add,decision_T,512042,2,550464,535650,11,550464,-23608,-9
contaminated,2025-11,mbo_ask_cancel,decision_T,512849,1,550464,536872,15,550464,-24023,-14
contaminated,2025-11,mbo_bid_add,decision_T,511979,0,550464,535589,18,550464,-23610,-18
contaminated,2025-11,mbo_bid_cancel,decision_T,512735,0,550464,536242,15,550464,-23507,-15
contaminated,2025-11,mbo_cancel_any,decision_T,515516,1,550464,541253,29,550464,-25737,-28
contaminated,2025-12,mbo_all,decision_T,614563,5,620108,614564,5,620108,-1,0
contaminated,2025-12,mbo_all_rows,decision_T,615494,6,620108,615494,6,620108,0,0
contaminated,2025-12,mbo_ask_add,decision_T,605213,0,620108,605215,0,620108,-2,0
contaminated,2025-12,mbo_ask_cancel,decision_T,606587,2,620108,606587,2,620108,0,0
contaminated,2025-12,mbo_bid_add,decision_T,605001,2,620108,605001,2,620108,0,0
contaminated,2025-12,mbo_bid_cancel,decision_T,606399,2,620108,606399,2,620108,0,0
contaminated,2025-12,mbo_cancel_any,decision_T,612434,3,620108,612434,3,620108,0,0
corrected,2025-01,mbo_all,decision_T,0,5,598227,0,6,598227,0,-1
corrected,2025-01,mbo_all_rows,decision_T,0,5,598227,0,6,598227,0,-1
