side,instrument,month,class,boundary,strict_count,equal_count,rows,scored_flag,missing_path
corrected,es,2025-01,trades_all,decision_T,0,0,605289,SCORED,
corrected,es,2025-01,trades_all,prev_row_B,514323,1,605289,SCORED,
corrected,es,2025-01,trades_buy,decision_T,0,0,605289,SCORED,
corrected,es,2025-01,trades_buy,prev_row_B,0,0,605289,SCORED,
corrected,es,2025-01,trades_sell,decision_T,0,0,605289,SCORED,
corrected,es,2025-01,trades_sell,prev_row_B,514323,1,605289,SCORED,
corrected,es,2025-01,trades_large,decision_T,0,0,605289,SCORED,
corrected,es,2025-01,trades_large,prev_row_B,216349,0,605289,SCORED,
contaminated,es,2025-01,trades_all,decision_T,514323,1,605290,SCORED,
contaminated,es,2025-01,trades_buy,decision_T,0,0,605290,SCORED,
contaminated,es,2025-01,trades_sell,decision_T,514323,1,605290,SCORED,
contaminated,es,2025-01,trades_large,decision_T,216349,0,605290,SCORED,
corrected,es,2025-01,mbo_all,decision_T,0,4,605289,SCORED,
corrected,es,2025-01,mbo_all,prev_row_B,585940,248,605289,SCORED,
corrected,es,2025-01,mbo_bid_add,decision_T,0,2,605289,SCORED,
corrected,es,2025-01,mbo_bid_add,prev_row_B,571405,97,605289,SCORED,
corrected,es,2025-01,mbo_ask_add,decision_T,0,1,605289,SCORED,
corrected,es,2025-01,mbo_ask_add,prev_row_B,571247,148,605289,SCORED,
corrected,es,2025-01,mbo_bid_cancel,decision_T,0,0,605289,SCORED,
corrected,es,2025-01,mbo_bid_cancel,prev_row_B,568448,1,605289,SCORED,
corrected,es,2025-01,mbo_ask_cancel,decision_T,0,1,605289,SCORED,
corrected,es,2025-01,mbo_ask_cancel,prev_row_B,568933,2,605289,SCORED,
corrected,es,2025-01,mbo_cancel_any,decision_T,0,1,605289,SCORED,
corrected,es,2025-01,mbo_cancel_any,prev_row_B,579272,3,605289,SCORED,
corrected,es,2025-01,mbo_all_rows,decision_T,0,6,605289,SCORED_DIAGNOSTIC_11TH_CLASS,
corrected,es,2025-01,mbo_all_rows,prev_row_B,587370,249,605289,SCORED_DIAGNOSTIC_11TH_CLASS,
contaminated,es,2025-01,mbo_all,decision_T,585940,248,605290,SCORED,
contaminated,es,2025-01,mbo_bid_add,decision_T,571405,97,605290,SCORED,
contaminated,es,2025-01,mbo_ask_add,decision_T,571247,148,605290,SCORED,
contaminated,es,2025-01,mbo_bid_cancel,decision_T,568448,1,605290,SCORED,
contaminated,es,2025-01,mbo_ask_cancel,decision_T,568933,2,605290,SCORED,
contaminated,es,2025-01,mbo_cancel_any,decision_T,579272,3,605290,SCORED,
contaminated,es,2025-01,mbo_all_rows,decision_T,587370,250,605290,SCORED_DIAGNOSTIC_11TH_CLASS,
